Level,Name,Parts,Wraps,West,South,East,North,AreaKm2,Part1Area,Part1West,Part1South,Part1East,Part1North,Part2Area,Part2West,Part2South,Part2East,Part2North,Part3Area,Part3West,Part3South,Part3East,Part3North,Part4Area,Part4West,Part4South,Part4East,Part4North,Part5Area,Part5West,Part5South,Part5East,Part5North
Physical Range/mtn,VERKHOYANSK RANGE,1,false,126.298,62.715,139.521,70.615,168383.0,168383.0,126.298,62.715,139.521,70.615,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Vatnajökull,1,false,-18.168,63.995,-15.352,64.912,9058.11,9058.11,-18.168,63.995,-15.352,64.912,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Vindhya Range,1,false,73.533,21.845,79.684,24.541,67151.3,67151.3,73.533,21.845,79.684,24.541,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Vosges,1,false,6.522,47.811,8.156,49.818,12586.2,12586.2,6.522,47.811,8.156,49.818,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,WESTERN GHATS,1,false,72.852,10.549,77.396,20.811,135553.0,135553.0,72.852,10.549,77.396,20.811,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Wasatch Range,1,false,-111.994,39.265,-110.941,42.653,16590.8,16590.8,-111.994,39.265,-110.941,42.653,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Western Sayan Mts.,1,false,90.845,51.336,96.029,53.214,58140.9,58140.9,90.845,51.336,96.029,53.214,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Wilhelmina Gebergte,1,false,-57.411,2.266,-55.142,4.979,33162.9,33162.9,-57.411,2.266,-55.142,4.979,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Witwatersrand,1,false,24.749,-26.888,28.897,-24.472,51821.3,51821.3,24.749,-26.888,28.897,-24.472,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Wrangell Mts.,1,false,-145.409,61.358,-141.381,63.24,26018.7,26018.7,-145.409,61.358,-141.381,63.24,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Wuyi Mts.,1,false,115.771,25.355,118.335,28.466,62644.0,62644.0,115.771,25.355,118.335,28.466,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,YABLONOVYY RANGE,1,false,111.053,49.37,121.398,58.908,332164.0,332164.0,111.053,49.37,121.398,58.908,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Yam Alin’ Range,1,false,134.152,52.265,135.56,54.374,16176.1,16176.1,134.152,52.265,135.56,54.374,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Yin Mts.,1,false,105.7,40.835,111.707,42.404,58043.8,58043.8,105.7,40.835,111.707,42.404,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,ZAGROS MOUNTAINS,1,false,46.118,26.767,56.541,35.923,243346.0,243346.0,46.118,26.767,56.541,35.923,,,,,,,,,,,,,,,,,,,,
Physical Plateau,ALLEGHENY PLATEAU,1,false,-82.633,37.663,-74.751,43.638,140122.0,140122.0,-82.633,37.663,-74.751,43.638,,,,,,,,,,,,,,,,,,,,
Physical Plateau,ALTI-PLANICIE MEXICANA,1,false,-108.816,19.909,-99.491,31.785,409450.0,409450.0,-108.816,19.909,-99.491,31.785,,,,,,,,,,,,,,,,,,,,
Physical Plateau,ALTIPLANO,1,false,-71.505,-27.04,-65.405,-13.968,343596.0,343596.0,-71.505,-27.04,-65.405,-13.968,,,,,,,,,,,,,,,,,,,,
Physical Plateau,Adamawa Plateau,1,false,8.263,4.04,15.69,9.28,242963.0,242963.0,8.263,4.04,15.69,9.28,,,,,,,,,,,,,,,,,,,,
Physical Plateau,Al Harüj al Aswad,1,false,15.971,26.181,18.592,28.471,43916.5,43916.5,15.971,26.181,18.592,28.471,,,,,,,,,,,,,,,,,,,,
Physical Plateau,Aldan Upland,1,false,126.567,56.763,131.925,59.09,55701.3,55701.3,126.567,56.763,131.925,59.09,,,,,,,,,,,,,,,,,,,,
